iter	Passed	Remaining
0	1	172
1	3	148
2	4	137
3	5	128
4	6	125
5	7	123
6	9	121
7	10	119
8	12	122
9	13	121
10	21	177
11	23	170
12	25	171
13	28	172
14	29	167
15	31	163
16	32	159
17	33	154
18	35	149
19	36	145
20	37	141
21	38	138
22	41	137
23	42	135
24	43	131
25	52	149
26	54	146
27	56	146
28	58	143
29	60	140
30	61	137
31	62	133
32	64	130
33	65	127
34	66	123
35	67	120
36	69	118
37	70	115
38	71	112
39	73	109
40	74	106
41	75	103
42	76	101
43	77	99
44	79	96
45	80	94
46	81	92
47	82	89
48	84	87
49	85	85
50	86	83
51	87	81
52	96	85
53	97	83
54	99	81
55	101	79
56	102	77
57	104	75
58	106	73
59	107	71
60	108	69
61	110	67
62	111	65
63	112	63
64	113	61
65	115	59
66	116	57
67	118	55
68	126	56
69	128	54
70	130	53
71	133	52
72	137	50
73	139	48
74	140	46
75	142	44
76	143	42
77	145	40
78	146	39
79	148	37
80	150	35
81	151	33
82	153	31
83	154	29
84	155	27
85	160	26
86	161	24
87	162	22
88	164	20
89	174	19
90	175	17
91	178	15
92	180	13
93	182	11
94	183	9
95	184	7
96	186	5
97	187	3
98	189	1
99	191	0
